Time(ms) photo_num Photo_Time speed steer_pos servo_pos sonar_dist lon lat gps_time magx magy magz gyroz delta_enc_counts
11145 56 0 0 570 117 269 -1 -1 -1 37.4 -34.1 -81.4 -0.02 -1
11183 56 0 0 570 114 254 -1 -1 -1 37.4 -34.1 -81.4 -0.03 -1
11221 57 0 0 570 111 263 -1 -1 -1 37.2 -34.5 -81.4 -0.04 -1
11259 57 0 0 570 108 0 -1 -1 -1 37.2 -34.5 -81.4 0.01 -1
11298 57 0 0 570 105 0 -1 -1 -1 36.9 -33.7 -80.7 -0.01 -1
11335 57 0 0 570 102 0 -1 -1 -1 36.9 -33.7 -80.7 -0.01 -1
11374 58 0 0 570 99 0 -1 -1 -1 36.6 -33.4 -80.5 -0.01 -1
11412 58 0 0 570 96 0 -1 -1 -1 36.9 -33.8 -80.5 0.0 0
11449 58 0 -17 570 93 0 -1 -1 -1 36.9 -33.8 -80.5 -0.01 -1
11490 58 0 -30 570 90 0 -1 -1 -1 36.5 -33.7 -80.6 -0.01 0
11525 58 0 -30 570 87 0 -1 -1 -1 36.5 -33.7 -80.6 -0.02 -1
11564 58 0 -30 570 84 2768 -1 -1 -1 36.5 -33.4 -80.6 -0.01 -1
11602 58 0 -30 570 81 2645 -1 -1 -1 36.5 -33.4 -80.6 0.0 0
11640 59 0 -30 570 78 0 -1 -1 -1 36.1 -33.7 -80.9 -0.02 0
11680 59 0 -30 570 75 0 -1 -1 -1 36.1 -33.7 -81.0 -0.03 -1
11718 59 0 -29 570 72 0 -1 -1 -1 36.0 -32.9 -81.0 -0.01 0
11755 59 0 -20 570 69 1288 -1 -1 -1 35.8 -33.1 -81.0 0.0 -1
11794 59 0 -20 570 66 1042 -1 -1 -1 35.8 -33.1 -81.0 -0.04 -1
11833 60 0 -20 570 63 1001 -1 -1 -1 35.7 -33.2 -80.9 -0.04 -1
11872 60 0 -17 570 60 1029 -1 -1 -1 35.7 -33.2 -80.9 -0.03 0
11910 60 0 -12 570 57 1065 -1 -1 -1 36.0 -34.0 -80.7 -0.01 -1
11948 60 0 -11 570 54 264 -1 -1 -1 36.0 -34.0 -80.7 -0.01 0
11987 60 0 -11 570 51 250 -1 -1 -1 35.8 -33.2 -81.2 -0.01 -1
12024 61 0 -11 570 48 274 -1 -1 -1 0.0 -33.5 -81.4 -0.02 0
12063 61 0 -11 570 45 285 -1 -1 -1 36.0 -33.5 -81.4 -0.02 -2
12102 61 0 -11 570 42 283 -1 -1 -1 35.9 -33.5 -81.4 -0.02 0
12140 61 0 -11 570 45 321 -1 -1 -1 35.9 -33.5 -81.4 -0.01 -1
12178 61 0 -11 570 48 330 -1 -1 -1 35.9 -33.5 -81.5 -0.01 0
12220 62 0 -11 570 51 309 -1 -1 -1 35.9 -33.5 -81.5 0.0 -1
12255 62 0 -11 570 54 302 -1 -1 -1 36.0 -33.2 -81.3 -0.01 0
12294 62 0 -11 570 57 292 -1 -1 -1 36.0 -33.2 -81.9 0.0 0
12331 62 0 -25 570 60 272 -1 -1 -1 36.0 -33.6 -81.9 -0.01 -1
12370 62 0 -25 570 63 272 -1 -1 -1 36.0 -33.2 -82.0 -0.02 -1
12408 62 0 -25 570 66 266 -1 -1 -1 36.0 -33.2 -82.0 -0.01 0
12447 63 0 0 570 69 1078 -1 -1 -1 36.4 -33.8 -81.8 -0.02 0
12485 63 0 0 570 72 1025 -1 -1 -1 36.4 -33.8 -81.8 0.0 -1
12523 63 0 0 570 75 1041 -1 -1 -1 36.1 -34.3 -81.7 -0.02 -1
12561 63 0 0 570 78 1258 -1 -1 -1 36.1 -34.3 -81.7 -0.01 0
12599 63 0 0 570 81 0 -1 -1 -1 36.2 -33.8 -82.0 -0.01 0
12638 63 0 29 570 84 0 -1 -1 -1 36.1 -33.7 -82.0 -0.01 -1
12675 64 0 47 570 87 0 -1 -1 -1 36.1 -33.7 -82.0 0.0 0
12715 64 0 48 570 90 2764 -1 -1 -1 35.8 -33.8 -87.3 -0.01 -1
12752 64 0 48 570 93 0 -1 -1 -1 35.8 -33.8 -87.3 0.01 0
12791 64 0 43 570 96 0 -1 -1 -1 36.6 -34.2 -88.6 -0.01 0
12829 64 0 25 570 99 0 -1 -1 -1 36.6 -34.2 -88.6 -0.01 1
12867 65 0 0 570 102 0 -1 -1 -1 37.4 -35.0 -86.2 -0.02 0
12907 65 0 0 570 105 0 -1 -1 -1 37.4 -35.0 -83.5 -0.01 1
12944 65 0 0 570 108 0 -1 -1 -1 37.5 -34.4 -83.5 0.03 0
12982 65 0 0 570 111 0 -1 -1 -1 36.1 -34.0 -81.5 -0.02 1
13019 65 0 0 570 114 0 -1 -1 -1 36.1 -34.0 -81.5 0.0 0
13058 66 0 0 570 117 0 -1 -1 -1 36.0 -34.2 -81.4 -0.04 1
13098 66 0 0 570 120 297 -1 -1 -1 36.0 -34.2 -81.4 0.01 0
13135 66 0 0 570 117 289 -1 -1 -1 36.2 -33.9 -81.4 0.0 0
13173 66 0 0 570 114 304 -1 -1 -1 36.2 -33.9 -81.4 0.0 0
13211 66 0 0 570 111 277 -1 -1 -1 36.0 -33.8 -81.3 -0.02 0
13251 67 0 0 570 108 295 -1 -1 -1 36.0 -33.8 -81.4 -0.02 1
